KENTVILLE CDA CS,45.067,-64.483,NS,9.1,0,NA,18.8,0,-1.9,0,,,NA,68.9,0,NA,,8,,,NA,275.5,0,8202810
LAKE MAJOR,44.717,-63.483,NS,10.7,18,NA,19,18,-2,18,0,18,NA,25.7,18,NA,,3,,,NA,94.8,0,8202896
LOUISBOURG,45.9,-60,NS,6.2,1,-2.7,17.5,1,-1,1,0,1,NA,63,1,NA,,14,138.7,0,106,355.1,0,8203161
LYONS BROOK,45.658,-62.797,NS,9.1,3,-0.1,18,3,-1.5,3,0,3,NA,87,3,NA,0,13,,,NA,249,0,8203230
MIDDLE MUSQUODOBOIT,45.067,-63.1,NS,8.7,0,0.3,18.5,0,-4,0,0,0,NA,109.6,0,94,,10,,,NA,287.2,0,8203535
NAPPAN AUTO,45.76,-64.241,NS,8.2,2,NA,18.3,2,-4.4,1,,,NA,56,2,NA,,12,,,NA,284.7,0,8203702
NORTH MOUNTAIN CS,46.817,-60.672,NS,5.6,1,NA,14.8,1,-2.3,0,,,NA,75.2,4,NA,,9,,,NA,371.8,0,8204161
UPPER STEWIACKE RCS,45.233,-63.055,NS,7.6,1,NA,18.4,1,-5.7,0,,,NA,94.2,1,NA,,10,,,NA,311.8,0,8204193
PARRSBORO,45.413,-64.347,NS,7.6,2,NA,17.5,2,-4.9,2,,,NA,48.9,0,NA,,8,,,NA,300.6,0,8204402
POCKWOCK LAKE,44.767,-63.833,NS,13,29,4.2,17.5,29,8.5,29,0,29,NA,0,29,NA,,0,,,NA,10,0,8204453
POINT ACONI,46.317,-60.333,NS,9.4,0,NA,17.4,0,-1.2,0,0,0,NA,112.1,0,NA,0,15,,,NA,267.5,0,8204456
PUGWASH,45.843,-63.655,NS,9.1,15,-0.1,18,15,-4,15,0,15,NA,29.7,15,NA,,3,,,NA,142.1,0,8204525
SABLE ISLAND,43.932,-60.009,NS,11.8,0,NA,18.4,0,0.3,0,,,NA,141,1,NA,,12,138.1,0,NA,193.7,0,8204700
ST MARGARET'S BAY,44.7,-63.9,NS,9.2,0,0.7,18,0,-4,0,0,0,NA,78,0,64,,9,,,NA,272.7,0,8204800
ST PAUL ISLAND (AUT),47.233,-60.144,NS,9.3,0,NA,16.1,0,2.6,0,,,NA,,,NA,,,,,NA,268.7,0,8204909
SALMON HOLE,44.933,-64.033,NS,10.1,1,1.2,19,0,-3,1,0,0,NA,47.6,0,40,,7,,,NA,236.6,0,8205000
SHEARWATER AUTO,44.636,-63.507,NS,9.7,0,NA,19.1,0,1,0,,,NA,65.4,0,NA,,9,,,NA,257.3,0,8205091
SHEARWATER RCS,44.63,-63.513,NS,10.1,0,NA,19.3,0,0.6,0,,,NA,61.4,0,NA,,10,,,NA,243.8,0,8205092
SOUTH SIDE HARBOUR,45.617,-61.9,NS,8.6,1,NA,17.3,1,-3,1,0,1,NA,58.5,1,NA,,12,,,NA,282.1,0,8205193
SYDNEY A,46.167,-60.048,NS,8.1,0,-0.3,17.1,0,-0.3,0,0,0,0,138.8,0,97,0,15,,,NA,306,0,8205700
SYDNEY CS,46.163,-60.042,NS,8.1,0,NA,17.6,0,-0.9,0,,,NA,134.4,0,NA,,17,,,NA,308.2,0,8205702
TATAMAGOUCHE,45.683,-63.233,NS,8.7,0,NA,19,0,-3,0,0,0,NA,64,0,NA,0,10,,,NA,287.7,0,8205774
TRACADIE,45.608,-61.68,NS,8.9,0,NA,17.5,0,-0.9,0,,,NA,52.3,0,NA,,9,,,NA,281.9,0,8205895
WATERVILLE CAMBRIDGE,45.05,-64.65,NS,9.2,1,0.2,19.5,1,-4,1,0,1,NA,63.4,1,NA,,9,,,NA,264.8,0,8206222
WESTERN HEAD,43.99,-64.664,NS,9.8,0,NA,20.1,0,0.3,0,,,NA,57.4,0,NA,,11,,,NA,253,0,8206240
WHITE ROCK,45.05,-64.383,NS,,,NA,,,,,0,0,NA,82.3,0,73,,7,,,NA,,,8206316
WRECK COVE BROOK,46.533,-60.45,NS,8.7,1,0.4,18,1,-1,1,0,1,NA,127.9,1,NA,,15,,,NA,278.5,0,8206450
YARMOUTH A,43.831,-66.089,NS,9.5,0,0,17.5,0,-0.2,0,0,0,0,109.2,0,97,0,9,165.7,0,100,264,0,8206500
