"Year","Disease","Number","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Avg_case","Med_case","Above_Avg","Above_Med"
2005,"Tuberculosis",6,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,7.15384615384615,8,"No","No"
2005,"Typhoid",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,1,1,"No","No"
2005,"Vancomycin Resistant Enterococcus",35,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,30.3076923076923,18,"Yes","Yes"
2005,"Verotoxigenic E.coli",14,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,12.8461538461538,14,"Yes","No"
2005,"West Nile Virus",1,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.230769230769231,0,"Yes","Yes"
2005,"Yersiniosis",2,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,2.46153846153846,2,"No","No"
2006,"Acquired Immune Deficiency Syndrome",13,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,3.76923076923077,3,"Yes","Yes"
2006,"Acute Flaccid Paralysis",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"No","No"
2006,"Amebiasis",13,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,5.76923076923077,6,"Yes","Yes"
2006,"Botulism",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"No","No"
2006,"Campylobacteriosis",132,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,158.307692307692,159,"No","No"
2006,"Chlamydia",1762,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,2343.53846153846,2466,"No","No"
2006,"Clostridium difficile",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,337.230769230769,0,"No","No"
2006,"Creutzfeldt-Jakob Disease - Classic",2,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,1.38461538461538,1,"Yes","Yes"
2006,"Cryptosporidiosis",9,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,19.3076923076923,18,"No","No"
2006,"Cyclosporiasis",3,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,1.53846153846154,2,"Yes","Yes"
2006,"Encephalitis - Viral",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.923076923076923,1,"No","No"
2006,"Giardiasis",106,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,89.4615384615385,93,"Yes","Yes"
2006,"Gonorrhea",99,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,126.153846153846,113,"No","No"
2006,"Group A Streptococcal Disease Invasive",16,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,6.38461538461539,0,"Yes","Yes"
2006,"Group A Streptococcal Disease Invasive -> Severe",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,6.30769230769231,7,"No","No"
2006,"Group A Streptococcal Disease Invasive -> non-Severe",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,9.92307692307692,12,"No","No"
2006,"Group B Streptococcal Disease of the Newborn",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,2.15384615384615,2,"No","No"
2006,"Haemophilus influenzae Type b Invasive Disease",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.538461538461538,1,"No","No"
2006,"Hepatitis A",18,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,4.76923076923077,3,"Yes","Yes"
2006,"Hepatitis B - Acute",8,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,6,6,"Yes","Yes"
2006,"Hepatitis B - Chronic",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,9.61538461538461,11,"No","No"
2006,"Hepatitis B - Chronic or Unspecified",36,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,6.30769230769231,0,"Yes","Yes"
2006,"Hepatitis C",252,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,275.153846153846,281,"No","No"
2006,"Hepatitis E",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"No","No"
2006,"Human Immunodeficiency Virus",23,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,17.0769230769231,17,"Yes","Yes"
2006,"Legionellosis",1,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,2.15384615384615,1,"No","No"
2006,"Listeriosis - Invasive",4,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,5.23076923076923,5,"No","No"
2006,"Lyme Disease - Confirmed",4,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,68.9230769230769,35,"No","No"
2006,"Lyme Disease - Probable",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,54,17,"No","No"
2006,"Lymphogranuloma Venereum",1,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.153846153846154,0,"Yes","Yes"
2006,"Malaria",2,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,3.07692307692308,3,"No","No"
2006,"Meningitis - Bacterial",2,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,1.84615384615385,2,"Yes","No"
2006,"Meningitis - Viral",6,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,10.8461538461538,6,"No","No"
2006,"Meningococcal Disease Invasive",4,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,3.92307692307692,4,"Yes","No"
2006,"Methicillin Resistant Staphylococcus Aureus",849,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,784.769230769231,838,"Yes","Yes"
2006,"Mumps",6,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,51.4615384615385,2,"No","Yes"
2006,"Pertussis",48,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,30.9230769230769,22,"Yes","Yes"
2006,"Pneumococcal Disease Invasive",22,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,41.6923076923077,49,"No","No"
2006,"Q-Fever",3,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,3,2,"No","Yes"
2006,"Rubella",1,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"Yes","Yes"
2006,"Salmonellosis",108,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,146.076923076923,145,"No","No"
2006,"Shellfish Poisoning",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"No","No"
2006,"Shigellosis",6,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,8.92307692307692,10,"No","No"
2006,"Syphilis - Infectious",2,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,30.2307692307692,22,"No","No"
2006,"Syphilis - Non-Infectious or Stage Pending",6,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,13.7692307692308,10,"No","No"
2006,"Tetanus",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.0769230769230769,0,"No","No"
2006,"Toxoplasmosis",2,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,1.38461538461538,1,"Yes","Yes"
2006,"Tuberculosis",10,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,7.15384615384615,8,"Yes","Yes"
2006,"Typhoid",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,1,1,"No","No"
2006,"Vancomycin Resistant Enterococcus",38,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,30.3076923076923,18,"Yes","Yes"
2006,"Verotoxigenic E.coli",21,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,12.8461538461538,14,"Yes","Yes"
2006,"West Nile Virus",0,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,0.230769230769231,0,"No","No"
2006,"Yersiniosis",4,7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,2.46153846153846,2,"Yes","Yes"
2007,"Acquired Immune Deficiency Syndrome",5,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,3.76923076923077,3,"Yes","Yes"
2007,"Acute Flaccid Paralysis",0,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,0.0769230769230769,0,"No","No"
2007,"Amebiasis",11,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,5.76923076923077,6,"Yes","Yes"
2007,"Botulism",0,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,0.0769230769230769,0,"No","No"
2007,"Campylobacteriosis",133,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,158.307692307692,159,"No","No"
2007,"Chlamydia",1788,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,2343.53846153846,2466,"No","No"
2007,"Clostridium difficile",0,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,337.230769230769,0,"No","No"
2007,"Creutzfeldt-Jakob Disease - Classic",2,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,1.38461538461538,1,"Yes","Yes"
2007,"Cryptosporidiosis",13,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,19.3076923076923,18,"No","No"
2007,"Cyclosporiasis",3,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,1.53846153846154,2,"Yes","Yes"
2007,"Encephalitis - Viral",2,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,0.923076923076923,1,"Yes","Yes"
2007,"Giardiasis",74,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,89.4615384615385,93,"No","No"
2007,"Gonorrhea",72,6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,126.153846153846,113,"No","No"
